Date	Selector	Album	Artist
2016-09-18	@nessiest	2013	Meilyr Jones
2016-09-25	@RougeForever	Hypoxia	Kathryn Williams
2016-10-02	@saucer	Denton after Sunset	Teenage Cool Kids
2016-10-09	@akx	On The Wheels of Solid Steel	DJ Kentaro
2016-10-16	@holette	Varmints	Anna Meredith
2016-10-23	@cdrose_writer	Waiting For Light	Ruby
2016-10-30	@jonnydapigg	Wizard Of The Harmonica	Sonny Terry
2016-11-06	@Nessiest	Treasure House	Cat's Eyes
2016-11-13	@wojsvenwoj	Avengers	Avengers
2016-11-20	@JimMcCauley	Invol2ver	Sasha
2016-11-27	@Har_Shone	Murder Ballads	Nick Cave & The Bad Seeds
2016-12-04	@samsmitter	This Year's Model	Elvis Costello
2016-12-11	@xpollen8	Visions And Dreams	Carrie Newcomer
2016-12-18	@mrhig	Jingle All The Way	Crash Test Dummies
2016-12-25	Closed	For	Xmas
2017-01-01	Closed	For	New Year
2017-01-08	Everybody	Festive Vortex 2016	Various
2017-01-15	@101retstum	Hergest Ridge	Mike Oldfield
2017-01-22	@JimMcCauley	Nevermen	Nevermen
2017-01-29	@kleptones	33 Revolutions Per Minute	Various
2017-02-05	@RougeForever	More Adventurous	Rilo Kiley
2017-02-12	@SimonLandmine	Tales of the Road	Justin Sullivan & Friends
2017-02-19	@holette	Light Upon The Lake	Whitney
2017-02-26	@wojsvenwoj	Left Foot Dance Of The Yi	Shanren
2017-03-05	@emmaprice	The Ties That Bind	Mawkin
2017-03-12	@akx	Dream Sequins®	Nmesh
2017-03-19	Everybody	Fifth Birthday Vortex	Various
2017-03-26	@Har_Shone	No Manchester	Mexrrissey
2017-04-02	@nessiest	La Araña Es La Vida	Kid Congo & The Pink Monkey Birds
2017-04-09	@saucer	Interventions	Horse Lords
2017-04-16	@eastvanhalen	Hit & Run Phase 2	Prince
2017-04-23	@samsmitter	This Is Charly R&B	Various
2017-04-30	@cdrose_writer	A Fair Field	The Memory Band
2017-05-07	@101retstum	Swingin' With Raymond	Chumbawamba
2017-05-14	@RougeForever	How It Ends	DeVotchKa
2017-05-21	@MrHig	1989 / 1989	Taylor Swift / Ryan Adams
2017-05-28	@wojsvenwoj	Love Waves	Veda Hille
2017-06-04	@cakehugga	At The Ferranti Institute	The Sisters Of Transistors
2017-06-11	@akx	Jun Ray Song Chang	Asa-Chang & Junray
2017-06-18	@saucer	Ogden's Nut Gone Flake	Small Faces
2017-06-25	Everyone	#myfirstgigvortex	-
2017-07-02	@SimonLandmine	In Flight	Linda Perry
2017-07-09	@xpollen8	Love Is A Panopticon	Isak
2017-07-16	@nessiest	Party	Aldous Harding
2017-07-23	@JimMcCauley	1987 (What The Fuck Is Going On)	The Justified Ancients of Mu Mu
2017-07-30	@ohmyliver	Jack The Tab	Psychic TV
2017-08-06	@holette	Lifetime of Love	Moon Diagrams
2017-08-13	@kleptones	Impossible Truth	William Tyler
2017-08-20	@EmmaPrice	Zanaka	Jain
